# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.693440962330e-10       8.930362715656e-15       2.182881478178e-13       0.000000000000e+00       8.180253569240e-11       8.892958784044e-12      -5.742926952602e-15 
   43       1.717666031546e-10       9.656157671375e-15       2.064935512620e-13       0.000000000000e+00       7.789532621884e-11       8.503784440245e-12      -6.012022270795e-15 
   44       1.742150632719e-10       1.041926994048e-14       1.934217140579e-13       0.000000000000e+00       7.423840592387e-11       8.139327521291e-12      -6.945737847860e-15 
   45       1.766941800681e-10       1.121894207689e-14       1.789459832877e-13       0.000000000000e+00       7.079623196572e-11       7.798048008420e-12      -8.205372887824e-15 
   46       1.792057259301e-10       1.205533981281e-14       1.629458927669e-13       0.000000000000e+00       6.756339934807e-11       7.479209816878e-12      -9.582798203193e-15 
   47       1.817484763626e-10       1.292884799529e-14       1.452911461864e-13       0.000000000000e+00       6.453615013847e-11       7.181491766090e-12      -1.088171349929e-14 
   48       1.843180210386e-10       1.383980244199e-14       1.258349457668e-13       0.000000000000e+00       6.170112334753e-11       6.902409198353e-12      -1.187149253751e-14 
   49       1.869064995867e-10       1.478848819201e-14       1.044130320619e-13       0.000000000000e+00       5.903464076723e-11       6.638230993834e-12      -1.228538755797e-14 
   50       1.895058182643e-10       1.577513975903e-14       8.088851612043e-14       0.000000000000e+00       5.650984007136e-11       6.385062761645e-12      -1.190578180521e-14 
   51       1.921189422913e-10       1.679994602950e-14       5.530294991831e-14       0.000000000000e+00       5.412201356398e-11       6.142635559383e-12      -1.085139365328e-14 
   52       1.947512119832e-10       1.786304367051e-14       2.776460252839e-14       0.000000000000e+00       5.186891287557e-11       5.911402134030e-12      -9.364927028263e-15 
   53       1.974070317371e-10       1.896451362807e-14      -1.592581858614e-15       0.000000000000e+00       4.974316613910e-11       5.691433189895e-12      -7.735083138248e-15 
   54       2.000897696241e-10       2.010437947221e-14      -3.260778919640e-14       0.000000000000e+00       4.773193311125e-11       5.482389282493e-12      -6.298861277279e-15 
   55       2.028017992767e-10       2.128261864462e-14      -6.513198532826e-14       0.000000000000e+00       4.582082397950e-11       5.283715664446e-12      -5.362675523868e-15 
   56       2.055448677597e-10       2.249920326483e-14      -9.915784582003e-14       0.000000000000e+00       4.400758588584e-11       5.095347894183e-12      -4.937486034385e-15 
   57       2.083196432147e-10       2.375406656243e-14      -1.347200108102e-13       0.000000000000e+00       4.229121234718e-11       4.917132285508e-12      -4.941898715520e-15 
   58       2.111254877746e-10       2.504708973555e-14      -1.718584183334e-13       0.000000000000e+00       4.066780258883e-11       4.748599316261e-12      -5.276740968815e-15 
   59       2.139603626996e-10       2.637810079858e-14      -2.106186619653e-13       0.000000000000e+00       3.913038278333e-11       4.588944208645e-12      -5.824199477506e-15 
   60       2.168207335143e-10       2.774687342999e-14      -2.510523484676e-13       0.000000000000e+00       3.766872728944e-11       4.437007509537e-12      -6.446957993365e-15 
   61       2.197030621197e-10       2.915309209560e-14      -2.932068666142e-13       0.000000000000e+00       3.627219870807e-11       4.291587993104e-12      -7.016458815389e-15 
   62       2.226088891118e-10       3.059624087712e-14      -3.370912009875e-13       0.000000000000e+00       3.493941739339e-11       4.152507374501e-12      -7.507050653302e-15 
   63       2.255407290991e-10       3.207568753181e-14      -3.827030444469e-13       0.000000000000e+00       3.367045503012e-11       4.019751209642e-12      -7.921539423593e-15 
   64       2.285005407635e-10       3.359071283668e-14      -4.300387310671e-13       0.000000000000e+00       3.246392600609e-11       3.893148961971e-12      -8.263989963874e-15 
   65       2.314896823506e-10       3.514050836628e-14      -4.790932578077e-13       0.000000000000e+00       3.131690443589e-11       3.772365127118e-12      -8.539787892447e-15 
   66       2.345088671600e-10       3.672417427039e-14      -5.298603061825e-13       0.000000000000e+00       3.022484118461e-11       3.656890357548e-12      -8.755701467861e-15 
   67       2.375581190354e-10       3.834071705175e-14      -5.823322639297e-13       0.000000000000e+00       2.918148089144e-11       3.546032587218e-12      -8.919943448473e-15 
   68       2.406372338444e-10       3.998914177112e-14      -6.364989107007e-13       0.000000000000e+00       2.818053281244e-11       3.439109573099e-12      -9.041524832300e-15 
   69       2.437473719942e-10       4.166875532525e-14      -6.923431174422e-13       0.000000000000e+00       2.722126196452e-11       3.336091662656e-12      -9.128025741046e-15 
   70       2.468897101244e-10       4.337892091115e-14      -7.498443105200e-13       0.000000000000e+00       2.630388703747e-11       3.237073922335e-12      -9.187481910380e-15 
   71       2.500649326665e-10       4.511896922530e-14      -8.089797183225e-13       0.000000000000e+00       2.542788937644e-11       3.142082587162e-12      -9.229095810137e-15 
   72       2.532732002742e-10       4.688819865643e-14      -8.697243587614e-13       0.000000000000e+00       2.459197486030e-11       3.051071336720e-12      -9.263280393411e-15 
   73       2.565141182551e-10       4.868587547821e-14      -9.320510267736e-13       0.000000000000e+00       2.379403578007e-11       2.963917571133e-12      -9.301702845631e-15 
   74       2.597867050013e-10       5.051123404202e-14      -9.959302818223e-13       0.000000000000e+00       2.303111271728e-11       2.880418687044e-12      -9.357328333643e-15 
   75       2.630893604211e-10       5.236347696970e-14      -1.061330435398e-12       0.000000000000e+00       2.229935642236e-11       2.800288353594e-12      -9.444463754794e-15 
   76       2.664205160299e-10       5.424164052099e-14      -1.128215756346e-12       0.000000000000e+00       2.159498341334e-11       2.723232419944e-12      -9.574676994463e-15 
   77       2.697807918698e-10       5.614416192617e-14      -1.196540736639e-12       0.000000000000e+00       2.091742821942e-11       2.649200850402e-12      -9.743598886492e-15 
