# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.694522709607e-10       9.004429653637e-15       2.180591493516e-13       7.477440324924e-17       8.180253569240e-11       8.892958784044e-12      -5.742926952602e-15 
   43       1.718790560598e-10       9.733711864953e-15       2.062489571683e-13       7.838355895957e-17       7.789532621884e-11       8.503784440245e-12      -6.012022270795e-15 
   44       1.743318370037e-10       1.050038429492e-14       1.931611706059e-13       8.208078213374e-17       7.423840592387e-11       8.139327521291e-12      -6.945737847860e-15 
   45       1.768153144212e-10       1.130368839642e-14       1.786692069648e-13       8.586624863239e-17       7.079623196572e-11       7.798048008420e-12      -8.205372887824e-15 
   46       1.793312584410e-10       1.214378852430e-14       1.626526789362e-13       8.973997186019e-17       6.756339934807e-11       7.479209816878e-12      -9.582798203193e-15 
   47       1.818784425111e-10       1.302106798350e-14       1.449813783240e-13       9.370188830979e-17       6.453615013847e-11       7.181491766090e-12      -1.088171349929e-14 
   48       1.844524543030e-10       1.393586092439e-14       1.255086051539e-13       9.775188843132e-17       6.170112334753e-11       6.902409198353e-12      -1.187149253751e-14 
   49       1.870454314993e-10       1.488845058901e-14       1.040702078511e-13       1.018898140897e-16       5.903464076723e-11       6.638230993834e-12      -1.228538755797e-14 
   50       1.896492785329e-10       1.587906954389e-14       8.052941275342e-14       1.061154526041e-16       5.650984007136e-11       6.385062761645e-12      -1.190578180521e-14 
   51       1.922669591317e-10       1.690790452202e-14       5.492788487917e-14       1.104285228588e-16       5.412201356398e-11       6.142635559383e-12      -1.085139365328e-14 
   52       1.949038123012e-10       1.797508986373e-14       2.737401178618e-14       1.148286810272e-16       5.186891287557e-11       5.911402134030e-12      -9.364927028263e-15 
   53       1.975642412559e-10       1.908070402402e-14      -1.998135385289e-15       1.193155210202e-16       4.974316613910e-11       5.691433189895e-12      -7.735083138248e-15 
   54       2.002516130173e-10       2.022476791237e-14      -3.302760694217e-14       1.238885717830e-16       4.773193311125e-11       5.482389282493e-12      -6.298861277279e-15 
   55       2.029683001458e-10       2.140725620864e-14      -6.556522996593e-14       1.285473493502e-16       4.582082397950e-11       5.283715664446e-12      -5.362675523868e-15 
   56       2.057160480894e-10       2.262813840656e-14      -9.960355704907e-14       1.332915343479e-16       4.400758588584e-11       5.095347894183e-12      -4.937486034385e-15 
   57       2.084955232294e-10       2.388734505830e-14      -1.351771065301e-13       1.381208338516e-16       4.229121234718e-11       4.917132285508e-12      -4.941898715520e-15 
   58       2.113060859412e-10       2.518475456190e-14      -1.723256904075e-13       1.430349299329e-16       4.066780258883e-11       4.748599316261e-12      -5.276740968815e-15 
   59       2.141456957293e-10       2.652019200664e-14      -2.110947719786e-13       1.480334790895e-16       3.913038278333e-11       4.588944208645e-12      -5.824199477506e-15 
   60       2.170108163628e-10       2.789342801829e-14      -2.515358234777e-13       1.531161116751e-16       3.766872728944e-11       4.437007509537e-12      -6.446957993365e-15 
   61       2.198979077204e-10       2.930414405062e-14      -2.936960993045e-13       1.582825098502e-16       3.627219870807e-11       4.291587993104e-12      -7.016458815389e-15 
   62       2.228085072417e-10       3.075182176807e-14      -3.375844641908e-13       1.635326631701e-16       3.493941739339e-11       4.152507374501e-12      -7.507050653302e-15 
   63       2.257451259140e-10       3.223582667184e-14      -3.831984945277e-13       1.688666696155e-16       3.367045503012e-11       4.019751209642e-12      -7.921539423593e-15 
   64       2.287097185712e-10       3.375543728728e-14      -4.305344073123e-13       1.742846640179e-16       3.246392600609e-11       3.893148961971e-12      -8.263989963874e-15 
   65       2.317036393747e-10       3.530984294467e-14      -4.795870819503e-13       1.797868199804e-16       3.131690443589e-11       3.772365127118e-12      -8.539787892447e-15 
   66       2.347275972932e-10       3.689814155980e-14      -5.303500820599e-13       1.853733517991e-16       3.022484118461e-11       3.656890357548e-12      -8.755701467861e-15 
   67       2.377816115834e-10       3.851933741467e-14      -5.828156772749e-13       1.910445163846e-16       2.918148089144e-11       3.546032587218e-12      -8.919943448473e-15 
   68       2.408654733528e-10       4.017243347718e-14      -6.369735253734e-13       1.968006033739e-16       2.818053281244e-11       3.439109573099e-12      -9.041524832300e-15 
   69       2.439803383676e-10       4.185673504336e-14      -6.928063598407e-13       2.026418988453e-16       2.722126196452e-11       3.336091662656e-12      -9.128025741046e-15 
   70       2.471273784955e-10       4.357160391682e-14      -7.502934636468e-13       2.085687176690e-16       2.630388703747e-11       3.237073922335e-12      -9.187481910380e-15 
   71       2.503072731688e-10       4.531636950852e-14      -8.094119193700e-13       2.145814162558e-16       2.542788937644e-11       3.142082587162e-12      -9.229095810137e-15 
   72       2.535201778078e-10       4.709032903527e-14      -8.701365967376e-13       2.206803941768e-16       2.459197486030e-11       3.051071336720e-12      -9.263280393411e-15 
   73       2.567656922446e-10       4.889274771832e-14      -9.324401401662e-13       2.268660957824e-16       2.379403578007e-11       2.963917571133e-12      -9.301702845631e-15 
   74       2.600428291465e-10       5.072285898185e-14      -9.962929563024e-13       2.331390118217e-16       2.303111271728e-11       2.880418687044e-12      -9.357328333643e-15 
   75       2.633499824397e-10       5.257986465159e-14      -1.061663201563e-12       2.394996810618e-16       2.229935642236e-11       2.800288353594e-12      -9.444463754794e-15 
   76       2.666855778521e-10       5.446280023941e-14      -1.128514982892e-12       2.459485933764e-16       2.159498341334e-11       2.723232419944e-12      -9.574676994463e-15 
   77       2.700502312997e-10       5.637010199744e-14      -1.196802608779e-12       2.524858750309e-16       2.091742821942e-11       2.649200850402e-12      -9.743598886492e-15 
   78       2.734449285528e-10       5.829996090811e-14      -1.266475262379e-12       2.591115486829e-16       2.026669937558e-11       2.578175178534e-12      -9.941782828174e-15 
   79       2.768703607298e-10       6.025044806764e-14      -1.337478646988e-12       2.658256264267e-16       1.964241923995e-11       2.510090894002e-12      -1.015857559514e-14 
   80       2.803269067075e-10       6.221951211809e-14      -1.409754936946e-12       2.726281093919e-16       1.904380624921e-11       2.444835351455e-12      -1.038207651442e-14 
   81       2.838146155329e-10       6.420497667937e-14      -1.483242728536e-12       2.795189873427e-16       1.846965717404e-11       2.382245679418e-12      -1.059909663743e-14 
   82       2.873331888335e-10       6.620453778127e-14      -1.557876990885e-12       2.864982382765e-16       1.791832937454e-11       2.322106689183e-12      -1.079511791310e-14 
   83       2.908819632285e-10       6.821576129546e-14      -1.633589016868e-12       2.935658280226e-16       1.738772305564e-11       2.264148783695e-12      -1.095425236082e-14 
   84       2.944602718841e-10       7.023631095878e-14      -1.710313615681e-12       3.007217251779e-16       1.687579163536e-11       2.208112398854e-12      -1.106254088493e-14 
   85       2.980686365744e-10       7.226468150090e-14      -1.788012168150e-12       3.079659496371e-16       1.638220893150e-11       2.153958182479e-12      -1.111856749388e-14 
   86       3.017077419093e-10       7.429958291055e-14      -1.866653321254e-12       3.152985314097e-16       1.590694711046e-11       2.101687986619e-12      -1.112453802086e-14 
   87       3.053780627092e-10       7.633972193850e-14      -1.946206157815e-12       3.227194958572e-16       1.544976441009e-11       2.051280474522e-12      -1.108311200802e-14 
   88       3.090798527878e-10       7.838380340512e-14      -2.026640269112e-12       3.302288635497e-16       1.501019627102e-11       2.002690147724e-12      -1.099741800791e-14 
   89       3.128131337362e-10       8.043053150790e-14      -2.107925827485e-12       3.378266501227e-16       1.458754646789e-11       1.955846373122e-12      -1.087106888502e-14 
   90       3.165776837049e-10       8.247861112891e-14      -2.190033658950e-12       3.455128661333e-16       1.418087824064e-11       1.910652410062e-12      -1.070817711715e-14 
   91       3.203730261879e-10       8.452674914233e-14      -2.272935315805e-12       3.532875169172e-16       1.378900542581e-11       1.866984437414e-12      -1.051337009697e-14 
   92       3.241984188054e-10       8.657365572199e-14      -2.356603149242e-12       3.611506024451e-16       1.341048358774e-11       1.824690580659e-12      -1.029180543341e-14 
   93       3.280531145961e-10       8.861794760140e-14      -2.441003162571e-12       3.691022338680e-16       1.304395275256e-11       1.783628101998e-12      -1.004868343499e-14 
   94       3.319372152109e-10       9.065783837068e-14      -2.526072183627e-12       3.771430035151e-16       1.268924383802e-11       1.743783482210e-12      -9.787667450224e-15 
   95       3.358509258981e-10       9.269140380103e-14      -2.611737377364e-12       3.852736705374e-16       1.234642300768e-11       1.705168684322e-12      -9.512253131721e-15 
   96       3.397942870516e-10       9.471667570392e-14      -2.697923133195e-12       3.934950506162e-16       1.201545090730e-11       1.667784156744e-12      -9.226258372214e-15 
   97       3.437671667348e-10       9.673164189276e-14      -2.784551038504e-12       4.018080174216e-16       1.169617862251e-11       1.631618384205e-12      -8.933831703955e-15 
   98       3.477692532048e-10       9.873424614453e-14      -2.871539852156e-12       4.102135040703e-16       1.138834363649e-11       1.596647438698e-12      -8.639460698071e-15 
   99       3.518000474356e-10       1.007223881614e-13      -2.958805478007e-12       4.187125045848e-16       1.109156578760e-11       1.562834530414e-12      -8.347980363933e-15 
  100       3.558588556426e-10       1.026939235323e-13      -3.046260938413e-12       4.273060753509e-16       1.080534322709e-11       1.530129558684e-12      -8.064581548518e-15 
  101       3.599447818060e-10       1.046466636946e-13      -3.133816347747e-12       4.359953365767e-16       1.052904837673e-11       1.498468662915e-12      -7.794819335773e-15 
  102       3.640567201949e-10       1.065783758959e-13      -3.221378885901e-12       4.447814737508e-16       1.026192388647e-11       1.467773773532e-12      -7.544621445981e-15 
  103       3.681933478909e-10       1.084867831553e-13      -3.308852771803e-12       4.536657391003e-16       1.000307859215e-11       1.437952162915e-12      -7.320296635127e-15 
  104       3.723534068672e-10       1.103696692792e-13      -3.396145399485e-12       4.626493217992e-16       9.751689544467e-12       1.408917914975e-12      -7.127080053379e-15 
  105       3.765366097239e-10       1.122252101467e-13      -3.483186747365e-12       4.717329354823e-16       9.507647883993e-12       1.380660604102e-12      -6.964527438593e-15 
  106       3.807428429361e-10       1.140516873131e-13      -3.569912553698e-12       4.809171774696e-16       9.270993084586e-12       1.353185099753e-12      -6.830511507883e-15 
  107       3.849718839823e-10       1.158473880542e-13      -3.656258428883e-12       4.902026550570e-16       9.041712916800e-12       1.326490270602e-12      -6.722621853568e-15 
  108       3.892233970505e-10       1.176106064828e-13      -3.742159896693e-12       4.995899855321e-16       8.819741670073e-12       1.300568776339e-12      -6.638157265155e-15 
  109       3.934969287434e-10       1.193396446649e-13      -3.827552435508e-12       5.090797961907e-16       8.604958374918e-12       1.275406859477e-12      -6.574118051341e-15 
  110       3.977919037845e-10       1.210328137351e-13      -3.912371519545e-12       5.186727243521e-16       8.397185025100e-12       1.250984137152e-12      -6.527198361997e-15 
  111       4.021076207238e-10       1.226884350136e-13      -3.996552660086e-12       5.283694173761e-16       8.196184799826e-12       1.227273392928e-12      -6.493778510167e-15 
  112       4.064432476438e-10       1.243048411214e-13      -4.080031446715e-12       5.381705326782e-16       8.001660285929e-12       1.204240368602e-12      -6.469917294057e-15 
  113       4.107978178648e-10       1.258803770969e-13      -4.162743588544e-12       5.480767377460e-16       7.813251700051e-12       1.181843556001e-12      -6.451344319027e-15 
  114       4.151702256510e-10       1.274134015119e-13      -4.244624955448e-12       5.580887101555e-16       7.630535110831e-12       1.160033988793e-12      -6.433452319587e-15 
  115       4.195592219163e-10       1.289022875873e-13      -4.325611619293e-12       5.682071375866e-16       7.453020661087e-12       1.138755034282e-12      -6.411289481385e-15 
  116       4.239635857719e-10       1.303454530724e-13      -4.405638444580e-12       5.784327189068e-16       7.280259970868e-12       1.117955252537e-12      -6.380570930094e-15 
  117       4.283826720129e-10       1.317414516164e-13      -4.484634577846e-12       5.887661675355e-16       7.112186961670e-12       1.097629192530e-12      -6.340869128821e-15 
  118       4.328159224415e-10       1.330888946532e-13      -4.562527484731e-12       5.992082085209e-16       6.948815324425e-12       1.077781188162e-12      -6.292798760269e-15 
  119       4.372626932719e-10       1.343864249881e-13      -4.639244379594e-12       6.097595775343e-16       6.790132242765e-12       1.058412643105e-12      -6.237033586163e-15 
  120       4.417222523899e-10       1.356327181686e-13      -4.714712253918e-12       6.204210208955e-16       6.636097580549e-12       1.039521938144e-12      -6.174307780446e-15 
  121       4.461937766143e-10       1.368264838540e-13      -4.788857904712e-12       6.311932955986e-16       6.486643069399e-12       1.021104338516e-12      -6.105417262471e-15 
  122       4.506763489567e-10       1.379664671868e-13      -4.861607962922e-12       6.420771693373e-16       6.341671496234e-12       1.003151901253e-12      -6.031221030195e-15 
  123       4.551689558826e-10       1.390514501621e-13      -4.932888921833e-12       6.530734205301e-16       6.201055890800e-12       9.856533825208e-13      -5.952642493376e-15 
  124       4.596704845713e-10       1.400802529985e-13      -5.002627165472e-12       6.641828383465e-16       6.064638713206e-12       9.685941449609e-13      -5.870670806762e-15 
  125       4.641797201772e-10       1.410517355085e-13      -5.070748997020e-12       6.754062227318e-16       5.932231041452e-12       9.519560650314e-13      -5.786362203289e-15 
  126       4.686953430894e-10       1.419647984687e-13      -5.137180667212e-12       6.867443844329e-16       5.803611758969e-12       9.357174403473e-13      -5.700841327275e-15 
  127       4.732159261930e-10       1.428183849902e-13      -5.201848402741e-12       6.981981450236e-16       5.678526742147e-12       9.198528970222e-13      -5.615302567610e-15 
  128       4.777399321293e-10       1.436114818891e-13      -5.264678434671e-12       7.097683369303e-16       5.556688047868e-12       9.043332970081e-13      -5.531011390954e-15 
  129       4.822658754940e-10       1.443431656803e-13      -5.325598361111e-12       7.214558179156e-16       5.437835803191e-12       8.891324384974e-13      -5.449060434542e-15 
  130       4.867928353686e-10       1.450127433539e-13      -5.384541343940e-12       7.332615162710e-16       5.321933276333e-12       8.742481849934e-13      -5.369604700811e-15 
  131       4.913199940995e-10       1.456196297040e-13      -5.441442428298e-12       7.451863906530e-16       5.208991769433e-12       8.596834898079e-13      -5.292544591593e-15 
  132       4.958464758555e-10       1.461633057620e-13      -5.496237287149e-12       7.572314161973e-16       5.099009474431e-12       8.454397671573e-13      -5.217763210238e-15 
  133       5.003713450692e-10       1.466433204870e-13      -5.548862259243e-12       7.693975846475e-16       4.991971109274e-12       8.315168481124e-13      -5.145125939956e-15 
  134       5.048936048774e-10       1.470592924548e-13      -5.599254387063e-12       7.816859044841e-16       4.887847554122e-12       8.179129365475e-13      -5.074480022159e-15 
  135       5.094121955620e-10       1.474109115480e-13      -5.647351454779e-12       7.940974010534e-16       4.786595487555e-12       8.046245650904e-13      -5.005654134807e-15 
  136       5.139259929907e-10       1.476979406456e-13      -5.693092026204e-12       8.066331166964e-16       4.688157022778e-12       7.916465510714e-13      -4.938457970748e-15 
  137       5.184338070578e-10       1.479202173128e-13      -5.736415482743e-12       8.192941108780e-16       4.592459343833e-12       7.789719524733e-13      -4.872681816064e-15 
  138       5.229343801248e-10       1.480776554902e-13      -5.777262061348e-12       8.320814603156e-16       4.499414341798e-12       7.665920238805e-13      -4.808096128412e-15 
  139       5.274263854613e-10       1.481702471843e-13      -5.815572892471e-12       8.449962591082e-16       4.408918250999e-12       7.544961724286e-13      -4.744451115370e-15 
  140       5.319084256858e-10       1.481980641563e-13      -5.851290038017e-12       8.580396188654e-16       4.320851285218e-12       7.426719137542e-13      -4.681476312776e-15 
  141       5.363790312063e-10       1.481612596125e-13      -5.884356529295e-12       8.712126688362e-16       4.235077273892e-12       7.311048279440e-13      -4.618880163077e-15 
  142       5.408366586610e-10       1.480600698938e-13      -5.914716404974e-12       8.845165560380e-16       4.151443298329e-12       7.197785154845e-13      -4.556349593667e-15 
  143       5.452796893594e-10       1.478948161650e-13      -5.942314749034e-12       8.979524453857e-16       4.069779327908e-12       7.086745532116e-13      -4.493549595233e-15 
  144       5.497065598357e-10       1.476659153076e-13      -5.967098061171e-12       9.115214027495e-16       3.989933870853e-12       6.977765005784e-13      -4.430192723163e-15 
  145       5.541161713083e-10       1.473739102396e-13      -5.989015329045e-12       9.252240308644e-16       3.911885655754e-12       6.870824565955e-13      -4.366256214318e-15 
  146       5.585075178117e-10       1.470194458105e-13      -6.008017134384e-12       9.390607976045e-16       3.835642320052e-12       6.765936628621e-13      -4.301785573162e-15 
  147       5.628795569149e-10       1.466032615944e-13      -6.024055369528e-12       9.530321492915e-16       3.761205228715e-12       6.663105438198e-13      -4.236826551115e-15 
  148       5.672312089219e-10       1.461261936326e-13      -6.037083277297e-12       9.671385101507e-16       3.688569317425e-12       6.562326859794e-13      -4.171425126747e-15 
  149       5.715613560714e-10       1.455891761759e-13      -6.047055490855e-12       9.813802817673e-16       3.617722935764e-12       6.463588171484e-13      -4.105627485985e-15 
  150       5.758688417369e-10       1.449932434275e-13      -6.053928073570e-12       9.957578425424e-16       3.548647690404e-12       6.366867856582e-13      -4.039480002306e-15 
  151       5.801524696266e-10       1.443395312855e-13      -6.057658558883e-12       1.010271547149e-15       3.481318288290e-12       6.272135395913e-13      -3.973029216942e-15 
  152       5.844110029837e-10       1.436292790854e-13      -6.058205990165e-12       1.024921725989e-15       3.415702379832e-12       6.179351060081e-13      -3.906321819077e-15 
  153       5.886431637864e-10       1.428638313425e-13      -6.055530960587e-12       1.039708684648e-15       3.351760402084e-12       6.088465701748e-13      -3.839404626048e-15 
  154       5.928476319473e-10       1.420446394951e-13      -6.049595652978e-12       1.054632703351e-15       3.289445421941e-12       5.999420547901e-13      -3.772324563547e-15 
  155       5.970230445145e-10       1.411732636463e-13      -6.040363879693e-12       1.069694036422e-15       3.228702979316e-12       5.912146992123e-13      -3.705128645816e-15 
  156       6.011679948707e-10       1.402513743072e-13      -6.027801122474e-12       1.084892911735e-15       3.169470930335e-12       5.826566386871e-13      -3.637863955852e-15 
  157       6.052810319335e-10       1.392807541389e-13      -6.011874572315e-12       1.100229530175e-15       3.111679290518e-12       5.742589835742e-13      -3.570577625603e-15 
  158       6.093606593557e-10       1.382632996959e-13      -5.992553169325e-12       1.115704065090e-15       3.055250077971e-12       5.660117985747e-13      -3.503316816173e-15 
  159       6.134053347249e-10       1.372010231677e-13      -5.969807642590e-12       1.131316661751e-15       3.000097156567e-12       5.579040819583e-13      -3.436128698014e-15 
  160       6.174134687639e-10       1.360960541221e-13      -5.943610550041e-12       1.147067436804e-15       2.946126079139e-12       5.499237447907e-13      -3.369060431136e-15 
  161       6.213835359676e-10       1.349505919016e-13      -5.913936182115e-12       1.162956488116e-15       2.893253439963e-12       5.420603493547e-13      -3.302157399509e-15 
  162       6.253144191894e-10       1.337667544251e-13      -5.880760179500e-12       1.178983926415e-15       2.841467184669e-12       5.343136401665e-13      -3.235457780414e-15 
  163       6.292050941407e-10       1.325467192832e-13      -5.844059957613e-12       1.195149845421e-15       2.790771358828e-12       5.266857311921e-13      -3.168997454773e-15 
  164       6.330545204091e-10       1.312927733854e-13      -5.803814878690e-12       1.211454311219e-15       2.741167011822e-12       5.191784064917e-13      -3.102811682131e-15 
  165       6.368616411717e-10       1.300073144755e-13      -5.760006291013e-12       1.227897361764e-15       2.692652129782e-12       5.117931121415e-13      -3.036935072826e-15 
  166       6.406253829072e-10       1.286928526471e-13      -5.712617568156e-12       1.244479006380e-15       2.645221568542e-12       5.045309481556e-13      -2.971401560155e-15 
